Intake KPI 'MVP' has no implementation in any service or route. | 6 | G6 | invoicetool_s05_make_payments_wire_stripe_payment_processing_using_boi, invoicetool_s08_email_notifications_for_invoice_status, invoicetool_s08_email_notifications_for_invoice_status_wire_mailerlite_email_notifications_usin, wynwood_thoroughbreds_p1, wynwood_thoroughbreds_p1_contentpage
Extended API functionality for KPI analytics and report generation methods that aren't specified in the intake. | 1 | G2 | ai_workforce_intelligence
Implemented unauthorized features related to AI readiness scoring and automation potential, which appear to be new features not in the intake requirements. | 1 | G2 | ai_workforce_intelligence
Tests are marked as missing. Although auto-generated in post-QA polish step, it's essential to ensure that this functionality is confirmed. | 1 | G2 | ai_workforce_intelligence
The implementation uses a `MockHRISService` instead of a real HRIS service. | 1 | G2 | ai_workforce_intelligence
Hardcoded default values for assessment metadata (e.g., `"status": "draft"`, `"hris_data_status": "pending"`). | 1 | G2 | ai_workforce_intelligence
The reports sharing function indicates a TODO for sending notification emails, which appears incomplete. | 1 | G2 | ai_workforce_intelligence
Custom logic for benchmark score adjustments may be beyond specified scope if not explicit in intake. | 1 | G2 | ai_workforce_intelligence
The `authenticate` method retrieves an OAuth token but does not verify if the token is expired before re-authenticating. | 1 | G2 | ai_workforce_intelligence
Some navigation links do not correspond to documented intake functionality. | 1 | G2 | ai_workforce_intelligence
The function `create_integration` does not enforce any input validation on the `data` dictionary. | 1 | G2 | ai_workforce_intelligence
There is no validation or error handling when retrieving the assessment for a report. | 1 | G2 | ai_workforce_intelligence
The function does not handle exceptions during database operations. | 1 | G2 | ai_workforce_intelligence
Potential for `assessment` to be `None` isn't handled before trying to access its properties. | 1 | G2 | ai_workforce_intelligence
Lack of robust error handling and validation for user data inputs. | 1 | G2 | ai_workforce_intelligence
Complex reporting logic seems beyond the initial data processing and simple calculations detailed in intake. | 1 | G2 | ai_workforce_intelligence
Error handling in `create_integration` function does not account for specific types of exceptions, leading to potential rollback failures. | 1 | G2 | ai_workforce_intelligence
There is a missing None check for `assessment_id` in the `get_assessment` function. | 1 | G2 | ai_workforce_intelligence
The method `calculate_kpi_scores` does not validate the presence of `assessment` after querying the database. | 1 | G2 | ai_workforce_intelligence
The list of HRIS integrations does not filter by consultant_id, causing a breach of data isolation between consultants. | 1 | G2 | ai_workforce_intelligence
HRIS integration creation does not set consultant_id, leading to potential data mix-ups. | 1 | G2 | ai_workforce_intelligence
The assessment validation raises a generic ValueError rather than a specific exception that can be handled gracefully. | 1 | G2 | ai_workforce_intelligence
The test assertion for the response status code in `test_create_consultant` uses `200` while it should be `201`. | 1 | G2 | ai_workforce_intelligence
The test assertion for the response status code in `test_create_assessment` uses `200` while it should be `201`. | 1 | G2 | ai_workforce_intelligence
Test for 200 status code instead of 201 in POST request tests for assessment creation. | 1 | G2 | ai_workforce_intelligence
Inconsistent use of the status code for creation operations. | 1 | G2 | ai_workforce_intelligence
The method `createInvoice` references fields like `amount`, `invoiceData.clientId`, `invoiceData.dueDate` that are not present in the constructor of the `Invoice` class. | 1 | G2 | freelance_invoice_tracker
Test files are present with tests, however, there's no confirmation on whether they cover all required functionalities mentioned in the intake requirements. For a production build, thorough test coverage is essential. | 1 | G2 | freelance_invoice_tracker
The `ReportService` provides comprehensive financial summary and client-specific reports which could be considered a new business capability not explicitly mentioned in the intake requirements. | 1 | G2 | freelance_invoice_tracker
Function `createInvoice` tries to call `calculateTotal` but no method named `calculateTotal` exists in `Invoice` class. | 1 | G2 | freelance_invoice_tracker
Function `addLineItem` attempts to access `invoice.lineItems` directly which does not exist as an array in the database schema design. | 1 | G2 | freelance_invoice_tracker
Test files are missing entirely. | 1 | G2 | freelance_invoice_tracker
Configuration for reminders grace period and uploadsDir is not specified in the intake requirements. | 1 | G2 | freelance_invoice_tracker
Route `/dashboard/stats` provides information which implies a dashboard feature. Dashboard was not specified in the intake requirements. | 1 | G2 | freelance_invoice_tracker
Dashboard component is implemented when not specified in the intake requirements. | 1 | G2 | freelance_invoice_tracker
Invoice status defaults to 'pending', which is inconsistent with the Invoice model that uses 'unpaid'. | 1 | G2 | freelance_invoice_tracker
The inclusion of configurable overdue reminders at 7, 14, and 30 days. | 1 | G2 | freelance_invoice_tracker
The code uses a hardcoded test card number in the `createPaymentMethod` function. | 1 | G2 | wynwood_thoroughbreds
Although tasks for email automation and merchandise store integration were mentioned in Pass 2 under component templates selected, there is no clear implementation or mention of tasks related to them in the output. | 1 | G2 | wynwood_thoroughbreds
The payment processor uses placeholder values like 'pk_test_your_stripe_public_key' and mock endpoints such as '/api/*'. It's not clear if actual API keys or integration with backend services were set up as per requirements. | 1 | G2 | wynwood_thoroughbreds
The README and content implementation suggests advanced analytics and performance trends, which appear to extend beyond the intake requirements for just providing membership access and updates. | 1 | G2 | wynwood_thoroughbreds
Member dashboard does not appear to load correctly for authenticated users upon login. | 1 | G2 | wynwood_thoroughbreds
Products from Shopify are static and do not fetch from a live Shopify endpoint. | 1 | G2 | wynwood_thoroughbreds
Pricing and tiers stated do not match those provided in the intake requirements ($500-$2000 tiers). | 1 | G2 | wynwood_thoroughbreds
No mention of mobile-responsive design, which was a question from the hero and assumed to be implemented. | 1 | G2 | wynwood_thoroughbreds
Surprise features like search functionality were implemented, which were not part of original specifications. | 1 | G2 | wynwood_thoroughbreds
Simulated API call responds with test users, which doesn't reflect an actual functional authentication system. | 1 | G2 | wynwood_thoroughbreds
Pricing in README states Premium Tier is $29/month and Elite is $99/month, which doesn't match the intake requirement of $500-$2000. | 1 | G2 | wynwood_thoroughbreds
The pricing and tiers in the membership section do not match the revised summarized BDR pricing plans mentioned in the intake ($500-$2000 tiers). | 1 | G2 | wynwood_thoroughbreds
Authentication simulation is hardcoded without real verification against a backend API. | 1 | G2 | wynwood_thoroughbreds
Login modal does not use secure sessions or depend on real session management. | 1 | G2 | wynwood_thoroughbreds
Uses `localStorage` for storing potentially sensitive information. | 1 | G2 | wynwood_thoroughbreds
Incorrect membership pricing listed under 'Membership Tiers' compared to the intake requirements. | 1 | G2 | wynwood_thoroughbreds
Pricing text doesn't match the specified intake requirement for the Premium tier. | 1 | G2 | wynwood_thoroughbreds
Simulated payment process uses hardcoded initiation, not actual Stripe integration. | 1 | G2 | wynwood_thoroughbreds
Duplicate logout function; likely causes confusion and potential misbehavior in the logout process. | 1 | G2 | wynwood_thoroughbreds
CSS variables such as `var(--primary-color)` are being used without being defined within the CSS file or a global style sheet. | 1 | G2 | wynwood_thoroughbreds
The package description and some dependencies (e.g., project name as "mma-gym-website") related to a gym website are inappropriate for the horse ownership syndicate platform. | 1 | G2 | wynwood_thoroughbreds
Describes features of an MMA gym website, not the Wynwood Thoroughbreds horse ownership syndicate. | 1 | G2 | wynwood_thoroughbreds
Files and configuration are set up for a gym website, including references to MMA and associated data, which are not part of the intake requirements for Wynwood Thoroughbreds. | 1 | G2 | wynwood_thoroughbreds
The sellShares function does not properly update the portfolio after shares are sold. | 1 | G2 | wynwood_thoroughbreds
Error handling for invalid login credentials is not user-friendly. | 1 | G2 | wynwood_thoroughbreds
The registration process should trigger a payment validation step after registration but before dashboard display. | 1 | G2 | wynwood_thoroughbreds
Automated horse performance updates are not configurable as specified in the intake requirements. | 1 | G2 | wynwood_thoroughbreds
Implementation includes styles related to performance charts which were not specified in the intake requirements. | 1 | G2 | wynwood_thoroughbreds
The implemented code relies heavily on a placeholder API (VoiceAI Platform) which does not relate to the current intake requirements focusing on a Boutique Horse Ownership Syndicate. | 1 | G2 | wynwood_thoroughbreds
Features unrelated to the horse ownership syndicate project (e.g., speech-to-text, voice cloning) are present. | 1 | G2 | wynwood_thoroughbreds
Contains functions and UI components for a generic AI platform, not aligned with the syndicate project. | 1 | G2 | wynwood_thoroughbreds
The README content completely deviates, discussing VoiceAI Platform setup and API. This does not correspond to Wynwood Thoroughbreds. | 1 | G2 | wynwood_thoroughbreds
The button for selecting the 'Join Elite' membership tier lacks functionality to trigger the proper process. | 1 | G2 | wynwood_thoroughbreds
Function `processPayment` does not redirect to payment confirmation page upon successful payment processing. | 1 | G2 | wynwood_thoroughbreds
Error handling when fetching recent activity logs. | 1 | G2 | wynwood_thoroughbreds
"License" section is included while no such requirement specified within the intake. | 1 | G2 | wynwood_thoroughbreds
CSS includes styles for a modal with different specifications not aligned with the declared sections (e.g. 'Contact' that doesn't exist). | 1 | G2 | wynwood_thoroughbreds
The variable `mobileMenuBtn` points to an element with the class `.mobile-menu-btn`, which is not present in the HTML structure. | 1 | G2 | wynwood_thoroughbreds
The method `getBreedingAnalysis()` is called on `racingDataService`, but it's not defined anywhere in the mock services. | 1 | G2 | wynwood_thoroughbreds
Requires environment validation but lacks detailed error-handling logic. The catch block in mock services doesn't cover proper error logs. | 1 | G2 | wynwood_thoroughbreds
The README.md file describes a different website ("Hickory Ridge Stables") unrelated to Wynwood Thoroughbreds. | 1 | G2 | wynwood_thoroughbreds
The `manifest.json` file indicates the app is named "Moonshadow Ranch", which doesn't align with the intake requirements for "Wynwood Thoroughbreds." | 1 | G2 | wynwood_thoroughbreds
The README references features and branding for "Moonshadow Ranch," which were not stated in the intake requirements. Additionally, it mentions a PWA (Progressive Web App) capability, which was not part of the specified scope. | 1 | G2 | wynwood_thoroughbreds
The primary headers are styled with Arial sans-serif instead of Georgia serif as specified in the README. | 1 | G2 | wynwood_thoroughbreds
Inconsistent terminology is used for member communications, missing a prompt for compliance checking communication logs. | 1 | G2 | wynwood_thoroughbreds
There is mention of contact and carousel features which were not included in the intake requirements. | 1 | G2 | wynwood_thoroughbreds
`trackEvent` method shows tracked events only in the console, not sending data to an analytics endpoint. | 1 | G2 | wynwood_thoroughbreds
"Responsive design for all devices" and "Offline functionality" are mentioned in the README, but were not specified in the intake requirements. | 1 | G2 | wynwood_thoroughbreds
The system has a defined analytics and notification system, including real-time notifications and a detailed tracking structure, which goes beyond the intake scope. | 1 | G2 | wynwood_thoroughbreds
Duplicate function `processPayment` is defined with inconsistent logic. | 1 | G2 | wynwood_thoroughbreds
Membership tiers mentioned (Bronze, Gold, Platinum) do not correspond with tiers in the intake (Basic, Premium, Elite). | 1 | G2 | wynwood_thoroughbreds
Describes features such as "Dark Mode Support", "Print Friendly", and "High DPI Displays" which were not part of the intake scope. | 1 | G2 | wynwood_thoroughbreds
The 'toggleAuthForms()' function implementation assumes both the login and registration forms have the 'hidden' class initially, which may not always be the case if one is visible after an operation like user logout. | 1 | G2 | wynwood_thoroughbreds
A file named 'config/racing' is referenced in the provided file list but is missing. | 1 | G2 | wynwood_thoroughbreds
Duplicate class management for `WynwoodApp` | 1 | G2 | wynwood_thoroughbreds
Incorrect project name and details related to a fitness club. | 1 | G2 | wynwood_thoroughbreds
The CSS references unrelated elements like `events-grid` and `gallery-grid`. | 1 | G2 | wynwood_thoroughbreds
Implementation includes excessive responsive and accessibility features not specified in the intake. | 1 | G2 | wynwood_thoroughbreds
The payment handling in registration is mocked and does not simulate real Stripe payment validation. | 1 | G2 | wynwood_thoroughbreds
The dashboard is displaying static content for horse updates instead of loading dynamic data. | 1 | G2 | wynwood_thoroughbreds
The README file does not include instructions for setting up database migration or data initialization as per the stated need for dynamic data integration. | 1 | G2 | wynwood_thoroughbreds
Overly simplistic design with no evident member engagement tracking, which was highlighted in the requirement document. | 1 | G2 | wynwood_thoroughbreds
Contains additional responsive design features which were noted to be beyond scope. | 1 | G2 | wynwood_thoroughbreds
`client_data` in `test_create_client()` function uses `size` instead of `employee_count`. | 1 | G2 | ai_workforce_intelligence
`client_id` is hardcoded to 1 in `test_create_assessment()`. | 1 | G2 | ai_workforce_intelligence
Incorrect test logic for `test_calculate_score()`, does not match implemented route structure. | 1 | G2 | ai_workforce_intelligence
Default test client usage without authentication. | 1 | G2 | ai_workforce_intelligence
The hardcoded URL `http://localhost:8000` in front-end components. | 1 | G2 | ai_workforce_intelligence
Missing script for starting backend server. | 1 | G2 | ai_workforce_intelligence
`success` attribute doesn't reflect realistic update endpoint response. | 1 | G2 | ai_workforce_intelligence
The webhook handler doesn't properly handle all critical Stripe events; it only checks `checkout.session.completed` and `customer.subscription.deleted`. Missing other potential critical events like `payment_intent.succeeded`. | 1 | G2 | wynwood_thoroughbreds
The callback URL on successful payment does not accurately verify the session's success, potentially leading to incorrect membership upgrades. | 1 | G2 | wynwood_thoroughbreds
The `next` version specified as 14.0.0 is not released. | 1 | G2 | wynwood_thoroughbreds
Horse update integration does not specify how updates are triggered (polling vs push), nor is there clarity around how accurate/consistent update timings are ensured. This was questioned in the initial intake if it is batch or real-time. | 1 | G2 | wynwood_thoroughbreds
Error handling logic does not account for potential null session return from Stripe. | 1 | G2 | wynwood_thoroughbreds
The system does not properly handle possible errors returned from Supabase queries. | 1 | G2 | wynwood_thoroughbreds
The actual implementation mentions batch updates but does not provide real-time updates, which was a question in the intake. | 1 | G2 | wynwood_thoroughbreds
The feature for synthesizing these analyses was not outlined in the intake specifications. | 1 | G2 | adversarial_ai_validator_p1
The code uses Flask imports `Blueprint`, `request`, `jsonify` in what should be a FastAPI application. | 1 | G2 | ai_workforce_intelligence
Flask is used to define the application instance in what should be a FastAPI application according to the boilerplate specification. | 1 | G2 | ai_workforce_intelligence
The required file structure for front-end pages is missing; there are no valid `.jsx` files under `business/frontend/pages/` | 1 | G2 | ai_workforce_intelligence
Potential lack of clarity in user feedback when handling errors. | 1 | G2 | ai_workforce_intelligence
Missing required file for integration documentation. | 1 | G2 | ai_workforce_intelligence
The code attempts to decode a JWT token but does not properly handle the `bearer` token scheme. | 1 | G2 | ai_workforce_intelligence
No actual form submission handling logic beyond console log | 1 | G2 | wynwood_thoroughbreds
Educational content access control based on membership tier is present, but actual access restriction logic is unclear or missing in snippets reviewed | 1 | G2 | wynwood_thoroughbreds
Use of advanced icons and features not specified in intake requirements, particularly some UI features like newsletters and more advanced searching/filtering options | 1 | G2 | wynwood_thoroughbreds
Contact form submission logic contains an incomplete implementation, causing form submissions to fail in certain conditions. | 1 | G2 | wynwood_thoroughbreds
The `renderAccessDeniedMessage` function renders the access denied message even for members with appropriate access when the category is changed. | 1 | G2 | wynwood_thoroughbreds
Default `isOwner` property which should determine ownership-related rendering logic is not being used correctly. | 1 | G2 | wynwood_thoroughbreds
Social media links and additional footer content were not specified in the intake requirements. | 1 | G2 | wynwood_thoroughbreds
The `getSharePercentage()` method is being invoked without providing a `memberId`. | 1 | G2 | wynwood_thoroughbreds
Missing the required `package.json` file in the `business` directory. | 1 | G2 | adversarial_ai_validator_integrate_openai_sdk_for_adversary_role_
Required fields were not being enforced on the client creation form. | 1 | G2 | adversarial_ai_validator_integrate_openai_sdk_for_adversary_role_
The build includes a new endpoint for listing available integrations, which was not part of the intake specification. | 1 | G2 | adversarial_ai_validator_integrate_openai_sdk_for_adversary_role_
The processing status should not include "completed" unless explicitly defined in the minimum viable product (MVP) criteria of the intake. | 1 | G2 | adversarial_ai_validator_integrate_openai_sdk_for_adversary_role_
Missing provides for the assessments routing expose details on restrictions for data access and validation. | 1 | G2 | ai_workforce_intelligence
Use of `status` to indicate workflow state for assessments is not included in intake requirements' features. | 1 | G2 | ai_workforce_intelligence
Missing inclusion checks for the report status check, as well as client context. | 1 | G2 | ai_workforce_intelligence
The intake requires a structured data input form for client assessments, but no direct call handling for generating assessments is visible in this specific file. | 1 | G2 | ai_workforce_intelligence
The provided package.json file lacks essential scripts for build and test as per standard practices for the required functionalities. | 1 | G2 | ai_workforce_intelligence
This model appears to introduce additional reporting capabilities that were not outlined in the intake. | 1 | G2 | ai_workforce_intelligence
The file imports and uses components/logic associated with a client management system, which is not specified in the intake requirements. | 1 | G2 | ai_workforce_intelligence
The implementation introduces an additional method (`to_dict`) for report objects, which provides serialization logic not specified in the intake. | 1 | G2 | ai_workforce_intelligence
The intake does not specify the requirement for a client management feature as a deliverable. | 1 | G2 | ai_workforce_intelligence
The intake does not specify the requirement for client listing features, indicating they are outside the defined MVP scope. | 1 | G2 | ai_workforce_intelligence
The implementation introduces a `status` field that is not included in intake requirements. | 1 | G2 | ai_workforce_intelligence
The report model contains logic and properties beyond what was described in the intake specifications. | 1 | G2 | ai_workforce_intelligence
The file includes a client management feature that was not specified in the intake. | 1 | G2 | ai_workforce_intelligence
Similar to the previous defect, this file introduces a standalone client management system not specified in the intake requirements. | 1 | G2 | ai_workforce_intelligence
The generation of a workforce intelligence report from assessments seems to extend beyond the defined scope of features as per the intake. | 1 | G2 | ai_workforce_intelligence
The analysis capabilities provided seem to extend beyond what's outlined in the intake specifications. | 1 | G2 | ai_workforce_intelligence
There is a POST endpoint for creating client profiles, which exceeds the defined requirements in the intake. | 1 | G2 | ai_workforce_intelligence
The implementation is using in-memory storage for reports, which was not described in the intake. | 1 | G2 | ai_workforce_intelligence
The file contains a POST endpoint for creating clients, which exceeds the defined requirements in the intake. | 1 | G2 | ai_workforce_intelligence
The provided package.json file does not have essential scripts for building and testing, deviating from expected standards. | 1 | G2 | ai_workforce_intelligence
The report model contains additional fields and methods that introduce complexity not specified in the intake. | 1 | G2 | ai_workforce_intelligence
The implementation is lacking a proper check for the `assessment` state after fetching. | 1 | G2 | ai_workforce_intelligence
The implementation provides CRUD endpoints for clients, which exceeds what is specified in the intake. | 1 | G2 | ai_workforce_intelligence
The addition of engagement functionality is unnecessary and not specified in the intake. | 1 | G2 | ai_workforce_intelligence
The report model contains additional fields that introduce complexity not specified in the intake. | 1 | G2 | ai_workforce_intelligence
The feature for report generation based on assessments is implemented, but this report generation feature is not found in the intake specifications. | 1 | G2 | ai_workforce_intelligence
Report viewing functionality is implemented, but viewing reports is not defined in the intake requirements as a core feature. | 1 | G2 | ai_workforce_intelligence
Status field is not part of the defined model expectations in the intake specifications. | 1 | G2 | ai_workforce_intelligence
The API handling does not adequately manage error responses, which could lead to application crashes or unhandled failures in production. | 1 | G2 | ai_workforce_intelligence
This endpoint introduces new functionality not defined within the intake — collection of workforce data. | 1 | G2 | ai_workforce_intelligence
The analytics model introduces scope that wasn’t requested nor defined in the intake. | 1 | G2 | ai_workforce_intelligence
Additional route for handling workforce data is not mentioned in the intake. | 1 | G2 | ai_workforce_intelligence
The recommendations field is introduced while detailed recommendations were not specified. | 1 | G2 | ai_workforce_intelligence
New charts are potentially added without mention in the intake. | 1 | G2 | ai_workforce_intelligence
The status field introduces additional complexity not specified in the intake requirements which simply defined the report generation. | 1 | G2 | ai_workforce_intelligence
The implementation provides PUT endpoints for updating clients, which exceed what is specified in the intake. | 1 | G2 | ai_workforce_intelligence
The file introduces a GET endpoint for accessing individual clients, which is not requested in the intake. | 1 | G2 | ai_workforce_intelligence
The introduction of an analytics model appears to extend beyond the scope specified in the intake. | 1 | G2 | ai_workforce_intelligence
This endpoint introduces engagement functionality not specified in the intake. | 1 | G2 | ai_workforce_intelligence
This endpoint introduces workforce data functionalities that exceed defined parameters in the intake. | 1 | G2 | ai_workforce_intelligence
The report model suggests additional complexity not specified in the intake requirements which only outline basic outputs. | 1 | G2 | ai_workforce_intelligence
The feature of individual client profile retrieval (`/client-profile`) is not specified in the intake. | 1 | G2 | ai_workforce_intelligence
The feature only allowing listing of existing clients should not introduce functionality that implies individual client management or retrieval. | 1 | G2 | ai_workforce_intelligence
The report model has a complexity in its definitions not specified in the intake that outlines simple output requirements. | 1 | G2 | ai_workforce_intelligence
Specific scripts required for building and testing were not provided in the package.json. | 1 | G2 | ai_workforce_intelligence
The code includes a `GET` endpoint for listing clients and individual profile retrieval, which is not specified in the intake. | 1 | G2 | ai_workforce_intelligence
The code introduces engagement-related endpoints which are not part of the intake requirements. | 1 | G2 | ai_workforce_intelligence
The code introduces a `GET` endpoint for listing clients that is not part of the intake requirements. | 1 | G2 | ai_workforce_intelligence
The model has added complexity not defined in the intake that outlines simple output requirements. | 1 | G2 | ai_workforce_intelligence
The endpoint introduces workforce data functionalities that exceed defined parameters in the intake. | 1 | G2 | ai_workforce_intelligence
The behaviors and tracking required for workforce data exceed what was requested in the intake. | 1 | G2 | ai_workforce_intelligence
The implementation introduces a `GET` endpoint for listing clients that is not part of the intake requirements. | 1 | G2 | ai_workforce_intelligence
The `report.py` model has added complexity not defined in the intake that outlines simple output requirements. | 1 | G2 | ai_workforce_intelligence
The `Engagement` model and related endpoints provide client management features not included in the scope. | 1 | G2 | ai_workforce_intelligence
The intake specifies no need for client management as a feature. | 1 | G2 | ai_workforce_intelligence
The implementation includes attributes that introduce complexity beyond what is specified in the intake. | 1 | G2 | ai_workforce_intelligence
Attributes are introduced in the report model that are outside the basics outlined in the intake. | 1 | G2 | ai_workforce_intelligence
The `client_id` field is not clearly specified in the intake requirements as necessary. | 1 | G2 | ai_workforce_intelligence
The `POST` endpoint for creating clients introduces client management features not defined in the intake requirements. | 1 | G2 | ai_workforce_intelligence
The `Engagement` model and related endpoints provide client management features not included in the intake. | 1 | G2 | ai_workforce_intelligence
The `Report` model introduces complexities such as title and content that are outside the basics outlined in the intake. | 1 | G2 | ai_workforce_intelligence
This file exists but does not implement any endpoints for client management, which is aligned with intake. | 1 | G2 | ai_workforce_intelligence
The assessment model includes a `data` column which could imply complex nested data not specified in the intake. | 1 | G2 | ai_workforce_intelligence
The intake does not specify any requirements for client engagement tracking functionalities. | 1 | G2 | ai_workforce_intelligence
Intake definitions do not explicitly request any features for workforce data management. | 1 | G2 | ai_workforce_intelligence
The `clients.py` file exists but should not have implemented any endpoints as this was not specified in intake. | 1 | G2 | ai_workforce_intelligence
The implementation includes features and functionality associated with assessment management that were not outlined in the intake requirements. | 1 | G2 | ai_workforce_intelligence
The workforce data model introduces functionalities that are not requested in the intake specifications. | 1 | G2 | ai_workforce_intelligence
The code used to retrieve the access token from the Auth0 `user` object is incorrect. | 1 | G2 | ai_workforce_intelligence
The workforce data model has functionalities not specified in the intake, leading to scope creep. | 1 | G2 | ai_workforce_intelligence
The file contains engagement endpoints, which introduces engagement tracking functionality not specified in the intake. | 1 | G2 | ai_workforce_intelligence
The implementation introduces functionality not specified in the intake requirements — specifically, workforce data management features. | 1 | G2 | ai_workforce_intelligence
The model contains attributes that introduce complexity beyond what is specified in the intake. | 1 | G2 | ai_workforce_intelligence
This file should not exist per intake requirements. There should be no client management endpoints, as this scope was explicitly excluded. | 1 | G2 | ai_workforce_intelligence
This file should not exist as it introduces functionality not specified in the intake. | 1 | G2 | ai_workforce_intelligence
This model introduces engagements functionality that is not defined in the intake. | 1 | G2 | ai_workforce_intelligence
The Assessment model is improperly defined with additional fields that introduce complexity beyond what is specified in the intake. | 1 | G2 | ai_workforce_intelligence
The file is present but contains no endpoints as client management is outside the intake. | 1 | G2 | ai_workforce_intelligence
The file contains no endpoints as there are no client management requirements in the intake. | 1 | G2 | ai_workforce_intelligence
The file is empty and does not conform to the intake requirements, which specify no client management functionality. | 1 | G2 | ai_workforce_intelligence
Similar to `client.py`, this file is empty and redundant, not aligning with the intake requirements. | 1 | G2 | ai_workforce_intelligence
The Analytics model adds additional complexity which is beyond the scope defined in the intake. Specifically, it adds metrics that are not explicitly required by the intake. | 1 | G2 | ai_workforce_intelligence
The API for analytics seems to allow manipulations and measurements not included in the scope, specifically the addition of various metrics without justification from the intake. | 1 | G2 | ai_workforce_intelligence
The tests are targeting a feature (analytics metrics) that exceeds the scope outlined in the intake. | 1 | G2 | ai_workforce_intelligence
The implementation introduces features that were not mentioned in the intake, specifically about client management related to assessments. | 1 | G2 | ai_workforce_intelligence
The Assessment model is introducing complexity with fields that are not specified in the intake. | 1 | G2 | ai_workforce_intelligence
This file does not adhere to the intake requirements, which specify no client management functionality. | 1 | G2 | ai_workforce_intelligence
The model introduces attributes such as `owner_id` and `data` that add unnecessary complexity outside the defined basic assessment tasks. | 1 | G2 | ai_workforce_intelligence
The Analytics model should only contain fields and functionalities that are consistent with the intake requirements. | 1 | G2 | ai_workforce_intelligence
Flask patterns and in-memory storage are used in the backend. | 1 | G2 | ai_workforce_intelligence
Uses Flask, which is inconsistent with the FastAPI structure used in other parts of the backend. | 1 | G2 | ai_workforce_intelligence
Missing .jsx frontend files in the `business/frontend/pages/` directory. | 1 | G2 | ai_workforce_intelligence
Test cases are written for deleted models and incorrect attributes in the current build configuration. | 1 | G2 | ai_workforce_intelligence
Test functions `test_calculate_readiness_score` use non-existent function in `ScoringService`. | 1 | G2 | ai_workforce_intelligence
Function to create FastAPI app (`create_app`) is missing | 1 | G2 | ai_workforce_intelligence
Test references `create_app` function not present in `business/backend/app.py` | 1 | G2 | ai_workforce_intelligence
`normalize_kpi_score` function calls have incorrect parameters | 1 | G2 | ai_workforce_intelligence
Tests depend on client IDs that are hard-coded | 1 | G2 | ai_workforce_intelligence
The file defines a Report class and FastAPI routes within the same module | 1 | G2 | ai_workforce_intelligence
There is no functionality for adding clients or generating reports | 1 | G2 | ai_workforce_intelligence
Implementation of real-time scoring engine not specified in intake. | 1 | G2 | ai_workforce_intelligence
Missing frontend functionality for "Narrative summary generator" | 1 | G2 | ai_workforce_intelligence
Incorrect use of get_tenant_db without passing user's current tenant ID | 1 | G2 | ai_workforce_intelligence
Multi-tenant architecture implemented instead of single-tenant as specified | 1 | G2 | ai_workforce_intelligence
Missing relationship for reports in Client model leads to undefined report relationship | 1 | G2 | ai_workforce_intelligence
Missing verification of report title before creating report | 1 | G2 | ai_workforce_intelligence
Mishandled POST data `kpi_id` in test_create_assessment | 1 | G2 | ai_workforce_intelligence
The README-INTEGRATION.md file mentions a multi-tenant architecture, which is not aligned with the single-tenant consultant MVP requirement specified in the intake. | 1 | G2 | ai_workforce_intelligence
The test_calculate_composite_score function references a non-existent function calculate_composite_score. | 1 | G2 | ai_workforce_intelligence
`business/README-INTEGRATION.md` must be present. | 1 | G2 | ai_workforce_intelligence
Usage of custom normalization functions `normalize_ttc`, `normalize_pdpt`, `normalize_rpl`, `normalize_bci`, and `normalize_imv` that are not defined. | 1 | G2 | ai_workforce_intelligence
The dashboard includes both client management and report management, which were not specified as separate user-facing features in the intake document. | 1 | G2 | ai_workforce_intelligence
Hardcoded data instead of API fetch call alternatives should be used. | 1 | G2 | ai_workforce_intelligence
Missing `business/README-INTEGRATION.md`. | 1 | G2 | ai_workforce_intelligence
KPI `data_type` is missing. Each KPI should clearly define its type. | 1 | G2 | ai_workforce_intelligence
The `normalize_kpi_score` and `calculate_composite_score` methods from `services.ScoringService` are called with incorrect parameters. | 1 | G2 | ai_workforce_intelligence
The method `generate_narrative_summary` is called with three parameters, but it doesn't exist or match the implemented function parameters. | 1 | G2 | ai_workforce_intelligence
The component hardcodes average performance metrics without pulling live data. | 1 | G2 | ai_workforce_intelligence
The `README-INTEGRATION.md` does not specify the required presence of a `business/package.json`. | 1 | G2 | ai_workforce_intelligence
The method `add_kpi_data` uses `Client` as a foreign key, which may result in incorrect foreign key constraint checks due to improper casing of the table name. | 1 | G2 | ai_workforce_intelligence
Tests are using incorrect model import and variables `clients` that are not part of the API response. | 1 | G2 | ai_workforce_intelligence
The method name `get_kpi_data` overlaps with the use of a GET route `/assessments/{assessment_id}/kpi-data`, which could lead to a name conflict and unclear purpose. | 1 | G2 | ai_workforce_intelligence
The `calculate_composite_score` function isn’t defined anywhere in `ScoringService.py`, yet it's used in `business/backend/routes/scoring.py`. | 1 | G2 | ai_workforce_intelligence
There is mention of assessments in backend routes, but there is no corresponding `Assessments.jsx` page in `business/frontend/pages/`. | 1 | G2 | ai_workforce_intelligence
Business logic includes files such as `business/backend/__init__.py` and `business/tests/conftest.py` | 1 | G2 | ai_workforce_intelligence
There are files such as `Assessments.jsx` and `Dashboard.jsx`, implying frontend logic mixing within business module. | 1 | G2 | ai_workforce_intelligence
Some models contain additional fields that do not necessarily expand the business logic outlined, verging on over-scoping with same pattern present in multiple files. | 1 | G2 | ai_workforce_intelligence
Redundant imports and field initializations that increase cognitive overload and potential issues. | 1 | G2 | ai_workforce_intelligence
